movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Danny Collins,7.1,2015,R,Comedy,Dan Fogelman,Al Pacino,"Comedy, Drama, Music",106.0,Comedy,Drama,Music,,,,,,3,2010,Good,Medium
Strangerland,5.2,2015,R,Drama,Kim Farrant,Nicholas Hamilton,"Drama, Mystery, Thriller",112.0,Drama,Mystery,Thriller,,,,,,3,2010,Average,Medium
Re-Kill,5.1,2015,R,Action,Valeri Milev,Daniella Alonso,"Action, Horror",88.0,Action,Horror,,,,,,,2,2010,Average,Short
Into the Grizzly Maze,5.3,2015,R,Action,David Hackl,Scott Glenn,"Action, Horror, Thriller",94.0,Action,Horror,Thriller,,,,,,3,2010,Average,Medium
The DUFF,6.5,2015,PG-13,Comedy,Ari Sandel,Bella Thorne,Comedy,101.0,Comedy,,,,,,,,1,2010,Average,Medium
Anomalisa,7.3,2015,R,Animation,Duke Johnson,Jennifer Jason Leigh,"Animation, Comedy, Drama, Romance",90.0,Animation,Comedy,Drama,Romance,,,,,4,2010,Good,Short
Pound of Flesh,5.1,2015,R,Action,Ernie Barbarash,Darren Shahlavi,"Action, Thriller",104.0,Action,Thriller,,,,,,,2,2010,Average,Medium
Dope,7.3,2015,R,Comedy,Rick Famuyiwa,Kimberly Elise,"Comedy, Crime, Drama",103.0,Comedy,Crime,Drama,,,,,,3,2010,Good,Medium
Freeheld,6.5,2015,PG-13,Biography,Peter Sollett,Steve Carell,"Biography, Drama, Romance",103.0,Biography,Drama,Romance,,,,,,3,2010,Average,Medium
Criminal Activities,5.8,2015,R,Crime,Jackie Earle Haley,Rex Baker,"Crime, Drama, Thriller",94.0,Crime,Drama,Thriller,,,,,,3,2010,Average,Medium
Goddess of Love,5.4,2015,R,Drama,Jon Knautz,Rachel Alig,"Drama, Horror, Mystery, Thriller",93.0,Drama,Horror,Mystery,Thriller,,,,,4,2010,Average,Medium
The Lazarus Effect,5.2,2015,PG-13,Horror,David Gelb,Olivia Wilde,"Horror, Sci-Fi, Thriller",83.0,Horror,Sci-Fi,Thriller,,,,,,3,2010,Average,Short
No Escape,6.8,2015,R,Action,John Erick Dowdle,Sterling Jerins,"Action, Thriller",103.0,Action,Thriller,,,,,,,2,2010,Average,Medium
90 Minutes in Heaven,4.6,2015,PG-13,Drama,Michael Polish,Hayden Christensen,Drama,121.0,Drama,,,,,,,,1,2010,Poor,Long
Green Room,7.1,2015,R,Crime,Jeremy Saulnier,Alia Shawkat,"Crime, Horror, Music, Thriller",95.0,Crime,Horror,Music,Thriller,,,,,4,2010,Good,Medium
The Visit,6.2,2015,PG-13,Horror,M. Night Shyamalan,Ocean James,"Horror, Thriller",94.0,Horror,Thriller,,,,,,,2,2010,Average,Medium
Area 51,4.2,2015,R,Horror,Oren Peli,Glenn Campbell,"Horror, Sci-Fi, Thriller",91.0,Horror,Sci-Fi,Thriller,,,,,,3,2010,Poor,Medium
